"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2019","England","35 and over","England","Male","Not main scheme applicant","Not main scheme application","155","130","0.8270000000000001"
"2020","England","35 and over","England","Male","Not main scheme applicant","Not main scheme application","215","160","0.75"
"2021","England","35 and over","England","Male","Not main scheme applicant","Not main scheme application","120","85","0.711"
"2022","England","35 and over","England","Male","Not main scheme applicant","Not main scheme application","145","95","0.674"
"2023","England","35 and over","England","Male","Not main scheme applicant","Not main scheme application","250","175","0.711"
"2023","Scotland","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Scotland","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Scotland","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Scotland","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Scotland","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10","1"
"2019","Scotland","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","Scotland","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Scotland","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","15","15","0.929"
"2019","Scotland","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Scotland","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Scotland","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Scotland","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Scotland","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","15","15","0.765"
"2023","Scotland","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","15","5"," "
"2020","Wales","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","England","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Wales","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Wales","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","England","18","Not EU","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","England","19","Not EU","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","England","19","Not EU","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2020","England","20","Not EU","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","England","21 - 24","Not EU","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","England","21 - 24","Not EU","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","England","21 - 24","Not EU","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","England","21 - 24","Not EU","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","England","25 - 29","Not EU","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","England","25 - 29","Not EU","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","England","25 - 29","Not EU","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Scotland","25 - 29","Not EU","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","England","30 - 34","Not EU","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","England","30 - 34","Not EU","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","England","35 and over","Not EU","Male","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","England","35 and over","Not EU","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","England","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","15","0.609"
"2020","England","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","England","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","20","0.75"
"2022","England","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15","10","0.625"
"2023","England","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15","10","0.647"
