"Year","Difference between predicted and achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","Less than -6 points","Other","Main scheme applicant","All","15","15","0.8130000000000001","0"
"2016","Less than -6 points","Other","Main scheme applicant","All","10","5"," ","0"
"2017","Less than -6 points","Other","Main scheme applicant","All","15","10","0.733","0"
"2018","Less than -6 points","Other","Main scheme applicant","All","15","10"," ","0"
"2019","Less than -6 points","Other","Main scheme applicant","All","15","10","0.714","0"
"2020","Less than -6 points","Other","Main scheme applicant","All","10","10"," ","0"
"2022","Less than -6 points","Other","Main scheme applicant","All","15","5"," ","0"
"2023","Less than -6 points","Other","Main scheme applicant","All","10","0"," ","0"
"2010","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","30","20","0.759","0"
"2011","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","30","30","0.875","0"
"2012","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2013","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2014","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2015","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","30","25","0.862","0"
"2016","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","35","35","0.971","0"
"2017","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","35","30","0.889","0"
"2018","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","30","25","0.931","0"
"2019","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","40","35","0.878","0"
"2020","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","30","30","0.903","0"
"2021","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","40","40","0.927","0"
"2022","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","30","25","0.857","0"
"2023","0 points","Unknown or Prefer Not To Say","Main scheme applicant","All","30","30","0.9380000000000001","0"
"2010","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","15","10"," ","0"
"2011","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2012","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2013","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2014","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10","0.833","0"
"2015","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","20","15","0.895","0"
"2016","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","15","15","1","0"
"2017","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","25","20","0.783","0"
"2018","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","20","15","0.895","0"
"2019","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","20","20","0.9500000000000001","0"
"2020","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","20","20","0.905","0"
"2021","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","20","20","1","0"
"2022","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","20","15","0.85","0"
"2023","1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","20","15","0.85","0"
"2010","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2011","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2013","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2014","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2015","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2016","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10","1","0"
"2017","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","15","15","0.875","0"
"2018","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2019","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2020","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","15","10","0.923","0"
"2021","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","15","10","0.923","0"
"2022","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","15","10","0.923","0"
"2023","2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","15","10","0.923","0"
"2012","3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2013","3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2014","3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2015","3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2016","3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2017","3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2019","3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2020","3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2021","3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2022","3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2023","3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2014","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2015","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2021","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2010","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2011","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2012","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2013","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","15","10","0.846","0"
"2014","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","5"," ","0"
"2015","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","20","20","0.9","0"
"2016","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","15","15","0.882","0"
"2017","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","20","20","0.8180000000000001","0"
"2018","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","20","15","0.778","0"
"2019","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","20","15","0.85","0"
"2020","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","15","15","0.867","0"
"2021","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","30","20","0.759","0"
"2022","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","35","25","0.722","0"
"2023","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","All","20","15","0.778","0"
"2010","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2011","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2012","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2013","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2014","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2015","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10"," ","0"
"2016","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2017","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2018","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2019","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2020","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","10","10","0.909","0"
"2021","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","15","15","0.867","0"
"2022","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2023","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","All","15","10","0.714","0"
"2010","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2011","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2012","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2013","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2014","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2015","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2016","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2018","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2019","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2020","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2021","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2022","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2023","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2010","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2014","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2015","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2016","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2019","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2021","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2023","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2011","-5 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2018","-5 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2014","-6 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2019","-6 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","0"," ","0"
"2014","Less than -6 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
"2016","Less than -6 points","Unknown or Prefer Not To Say","Main scheme applicant","All","5","5"," ","0"
