"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applicant","Main scheme application","Accepted applicants"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","All","Visual impairment","All","All","5"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","All","Visual impairment","All","All","5"
"2021","(CAH19) language and area studies","(CAH19-01-05) creative writing","All","Visual impairment","All","All","5"
"2022","(CAH19) language and area studies","(CAH19-01-05) creative writing","All","Visual impairment","All","All","5"
"2023","(CAH19) language and area studies","(CAH19-01-05) creative writing","All","Visual impairment","All","All","15"
"2022","(CAH19) language and area studies","(CAH19-01-02) English language","All","Visual impairment","All","All","5"
"2023","(CAH19) language and area studies","(CAH19-01-02) English language","All","Visual impairment","All","All","5"
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","All","Visual impairment","All","All","10"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","All","Visual impairment","All","All","5"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","All","Visual impairment","All","All","5"
"2022","(CAH19) language and area studies","(CAH19-01-03) literature in English","All","Visual impairment","All","All","5"
"2023","(CAH19) language and area studies","(CAH19-01-03) literature in English","All","Visual impairment","All","All","10"
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","All","Visual impairment","All","All","5"
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","All","Visual impairment","All","All","5"
"2021","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","All","Visual impairment","All","All","5"
"2022","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","All","Visual impairment","All","All","5"
"2023","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","All","Visual impairment","All","All","10"
"2019","(CAH19) language and area studies","(CAH19-04-01) French studies","All","Visual impairment","All","All","5"
"2023","(CAH19) language and area studies","(CAH19-04-01) French studies","All","Visual impairment","All","All","5"
"2019","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","All","Visual impairment","All","All","5"
"2023","(CAH19) language and area studies","(CAH19-01-07) linguistics","All","Visual impairment","All","All","5"
"2019","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","All","Visual impairment","All","All","5"
"2020","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","All","Visual impairment","All","All","5"
"2023","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","All","Visual impairment","All","All","5"
"2022","(CAH19) language and area studies","(CAH19-04-06) Asian studies","All","Visual impairment","All","All","5"
"2023","(CAH19) language and area studies","(CAH19-04-06) Asian studies","All","Visual impairment","All","All","5"
"2019","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","All","Visual impairment","All","All","10"
"2020","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","All","Visual impairment","All","All","15"
"2021","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","All","Visual impairment","All","All","15"
"2022","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","All","Visual impairment","All","All","10"
"2023","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","All","Visual impairment","All","All","30"
"2019","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","All","Visual impairment","All","All","5"
"2020","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","All","Visual impairment","All","All","5"
"2021","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","All","Visual impairment","All","All","10"
"2022","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","All","Visual impairment","All","All","10"
"2023","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","All","Visual impairment","All","All","10"
"2023","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","All","Visual impairment","All","All","5"
"2023","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","All","Visual impairment","All","All","5"
"2019","(CAH17) business and management","(CAH17-01-03) marketing","All","Visual impairment","All","All","5"
"2021","(CAH17) business and management","(CAH17-01-03) marketing","All","Visual impairment","All","All","5"
"2022","(CAH17) business and management","(CAH17-01-03) marketing","All","Visual impairment","All","All","5"
"2023","(CAH17) business and management","(CAH17-01-03) marketing","All","Visual impairment","All","All","30"
"2019","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","All","Visual impairment","All","All","15"
"2020","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","All","Visual impairment","All","All","5"
"2021","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","All","Visual impairment","All","All","10"
"2022","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","All","Visual impairment","All","All","10"
"2023","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","All","Visual impairment","All","All","45"
"2019","(CAH17) business and management","(CAH17-01-02) business studies","All","Visual impairment","All","All","15"
"2020","(CAH17) business and management","(CAH17-01-02) business studies","All","Visual impairment","All","All","15"
"2021","(CAH17) business and management","(CAH17-01-02) business studies","All","Visual impairment","All","All","10"
"2022","(CAH17) business and management","(CAH17-01-02) business studies","All","Visual impairment","All","All","15"
"2023","(CAH17) business and management","(CAH17-01-02) business studies","All","Visual impairment","All","All","50"
"2019","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","All","Visual impairment","All","All","10"
"2020","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","All","Visual impairment","All","All","5"
"2021","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","All","Visual impairment","All","All","10"
"2022","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","All","Visual impairment","All","All","10"
"2023","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","All","Visual impairment","All","All","20"
"2022","(CAH17) business and management","(CAH17-01-05) human resource management","All","Visual impairment","All","All","5"
"2023","(CAH17) business and management","(CAH17-01-05) human resource management","All","Visual impairment","All","All","5"
"2019","(CAH17) business and management","(CAH17-01-04) management studies","All","Visual impairment","All","All","10"
"2020","(CAH17) business and management","(CAH17-01-04) management studies","All","Visual impairment","All","All","5"
"2021","(CAH17) business and management","(CAH17-01-04) management studies","All","Visual impairment","All","All","5"
"2022","(CAH17) business and management","(CAH17-01-04) management studies","All","Visual impairment","All","All","5"
"2023","(CAH17) business and management","(CAH17-01-04) management studies","All","Visual impairment","All","All","35"
"2019","(CAH17) business and management","(CAH17-01-08) accounting","All","Visual impairment","All","All","10"
"2020","(CAH17) business and management","(CAH17-01-08) accounting","All","Visual impairment","All","All","15"
"2021","(CAH17) business and management","(CAH17-01-08) accounting","All","Visual impairment","All","All","10"
"2022","(CAH17) business and management","(CAH17-01-08) accounting","All","Visual impairment","All","All","20"
"2023","(CAH17) business and management","(CAH17-01-08) accounting","All","Visual impairment","All","All","35"
"2019","(CAH17) business and management","(CAH17-01-07) finance","All","Visual impairment","All","All","10"
"2020","(CAH17) business and management","(CAH17-01-07) finance","All","Visual impairment","All","All","10"
"2021","(CAH17) business and management","(CAH17-01-07) finance","All","Visual impairment","All","All","10"
"2022","(CAH17) business and management","(CAH17-01-07) finance","All","Visual impairment","All","All","10"
"2023","(CAH17) business and management","(CAH17-01-07) finance","All","Visual impairment","All","All","35"
"2019","(CAH15) social sciences","(CAH15-03-01) politics","All","Visual impairment","All","All","5"
"2020","(CAH15) social sciences","(CAH15-03-01) politics","All","Visual impairment","All","All","20"
"2021","(CAH15) social sciences","(CAH15-03-01) politics","All","Visual impairment","All","All","15"
"2022","(CAH15) social sciences","(CAH15-03-01) politics","All","Visual impairment","All","All","15"
"2023","(CAH15) social sciences","(CAH15-03-01) politics","All","Visual impairment","All","All","50"
"2019","(CAH15) social sciences","(CAH15-02-01) economics","All","Visual impairment","All","All","15"
"2020","(CAH15) social sciences","(CAH15-02-01) economics","All","Visual impairment","All","All","15"
