"Year","Predicted BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","10 points (D*D*D*)","Unknown or Prefer Not To Say","All","All","15","15","0.8130000000000001","0"
"2016","10 points (D*D*D*)","Unknown or Prefer Not To Say","All","All","20","20","0.9520000000000001","0"
"2017","10 points (D*D*D*)","Unknown or Prefer Not To Say","All","All","25","20","0.88","0"
"2018","10 points (D*D*D*)","Unknown or Prefer Not To Say","All","All","20","15","0.9440000000000001","0"
"2019","10 points (D*D*D*)","Unknown or Prefer Not To Say","All","All","15","15","0.867","0"
"2020","10 points (D*D*D*)","Unknown or Prefer Not To Say","All","All","20","15","0.9440000000000001","0"
"2021","10 points (D*D*D*)","Unknown or Prefer Not To Say","All","All","25","20","0.9570000000000001","0"
"2022","10 points (D*D*D*)","Unknown or Prefer Not To Say","All","All","15","15","0.882","0"
"2023","10 points (D*D*D*)","Unknown or Prefer Not To Say","All","All","10","10"," ","0"
"2010","All","White","All","All","17230","12820","0.744","15"
"2011","All","White","All","All","18080","13575","0.751","20"
"2012","All","White","All","All","15340","11535","0.752","10"
"2013","All","White","All","All","16740","13055","0.78","5"
"2014","All","White","All","All","19240","15155","0.788","20"
"2015","All","White","All","All","21050","16655","0.791","15"
"2016","All","White","All","All","19860","15915","0.801","10"
"2017","All","White","All","All","18020","14585","0.809","10"
"2018","All","White","All","All","16710","13625","0.8150000000000001","10"
"2019","All","White","All","All","15050","12325","0.8190000000000001","15"
"2020","All","White","All","All","15615","13285","0.851","25"
"2021","All","White","All","All","17310","14055","0.812","15"
"2022","All","White","All","All","16065","12330","0.767","10"
"2023","All","White","All","All","13390","10425","0.779","10"
"2010","All","Black","All","All","1085","830","0.764","0"
"2011","All","Black","All","All","1325","1065","0.801","0"
"2012","All","Black","All","All","1295","1035","0.797","0"
"2013","All","Black","All","All","1635","1380","0.844","0"
"2014","All","Black","All","All","1885","1560","0.8270000000000001","0"
"2015","All","Black","All","All","2335","2010","0.861","0"
"2016","All","Black","All","All","2160","1880","0.87","0"
"2017","All","Black","All","All","2095","1860","0.888","0"
"2018","All","Black","All","All","2055","1810","0.882","0"
"2019","All","Black","All","All","2070","1825","0.883","0"
"2020","All","Black","All","All","2305","2085","0.906","0"
"2021","All","Black","All","All","2745","2465","0.898","0"
"2022","All","Black","All","All","2830","2465","0.87","0"
"2023","All","Black","All","All","2865","2450","0.856","0"
"2010","All","Asian","All","All","1110","915","0.8240000000000001","0"
"2011","All","Asian","All","All","1440","1160","0.806","0"
"2012","All","Asian","All","All","1425","1150","0.805","0"
"2013","All","Asian","All","All","1815","1530","0.845","0"
"2014","All","Asian","All","All","2150","1835","0.853","0"
"2015","All","Asian","All","All","2720","2365","0.869","0"
"2016","All","Asian","All","All","2880","2530","0.878","0"
"2017","All","Asian","All","All","2940","2640","0.898","0"
"2018","All","Asian","All","All","3010","2690","0.894","0"
"2019","All","Asian","All","All","3335","2965","0.889","0"
"2020","All","Asian","All","All","3890","3575","0.919","0"
"2021","All","Asian","All","All","4430","3940","0.889","0"
"2022","All","Asian","All","All","4015","3400","0.846","5"
"2023","All","Asian","All","All","3945","3300","0.837","5"
"2010","All","Mixed","All","All","685","505","0.741","0"
"2011","All","Mixed","All","All","730","550","0.752","0"
"2012","All","Mixed","All","All","735","535","0.728","0"
"2013","All","Mixed","All","All","905","680","0.749","0"
"2014","All","Mixed","All","All","985","770","0.782","0"
"2015","All","Mixed","All","All","1185","935","0.788","0"
"2016","All","Mixed","All","All","1135","910","0.799","0"
"2017","All","Mixed","All","All","1055","880","0.833","0"
"2018","All","Mixed","All","All","990","840","0.849","0"
"2019","All","Mixed","All","All","1010","845","0.837","0"
"2020","All","Mixed","All","All","1090","950","0.872","0"
"2021","All","Mixed","All","All","1305","1090","0.834","0"
"2022","All","Mixed","All","All","1290","1025","0.795","0"
"2023","All","Mixed","All","All","1225","980","0.8","0"
"2010","All","Other","All","All","150","120","0.776","0"
"2011","All","Other","All","All","195","155","0.796","0"
"2012","All","Other","All","All","225","180","0.808","0"
"2013","All","Other","All","All","325","270","0.833","0"
"2014","All","Other","All","All","365","300","0.8150000000000001","0"
"2015","All","Other","All","All","480","425","0.888","0"
"2016","All","Other","All","All","455","395","0.866","0"
"2017","All","Other","All","All","475","425","0.893","0"
"2018","All","Other","All","All","545","490","0.902","0"
"2019","All","Other","All","All","560","495","0.879","0"
"2020","All","Other","All","All","650","585","0.906","0"
"2021","All","Other","All","All","780","710","0.91","0"
"2022","All","Other","All","All","820","695","0.85","0"
"2023","All","Other","All","All","855","720","0.844","0"
"2010","All","Unknown or Prefer Not To Say","All","All","75","50","0.684","0"
"2011","All","Unknown or Prefer Not To Say","All","All","70","55","0.809","0"
"2012","All","Unknown or Prefer Not To Say","All","All","50","35","0.6880000000000001","0"
"2013","All","Unknown or Prefer Not To Say","All","All","55","45","0.8250000000000001","0"
"2014","All","Unknown or Prefer Not To Say","All","All","75","55","0.726","0"
"2015","All","Unknown or Prefer Not To Say","All","All","110","95","0.882","0"
"2016","All","Unknown or Prefer Not To Say","All","All","105","100","0.925","0"
"2017","All","Unknown or Prefer Not To Say","All","All","115","100","0.838","0"
"2018","All","Unknown or Prefer Not To Say","All","All","95","80","0.835","0"
"2019","All","Unknown or Prefer Not To Say","All","All","115","100","0.871","0"
"2020","All","Unknown or Prefer Not To Say","All","All","100","90","0.901","0"
"2021","All","Unknown or Prefer Not To Say","All","All","145","125","0.882","0"
"2022","All","Unknown or Prefer Not To Say","All","All","125","95","0.776","0"
"2023","All","Unknown or Prefer Not To Say","All","All","115","95","0.835","0"
"2010","1 point (PPP)","All","All","All","800","430","0.537","5"
"2011","1 point (PPP)","All","All","All","555","310","0.562","0"
"2012","1 point (PPP)","All","All","All","400","245","0.611","0"
"2013","1 point (PPP)","All","All","All","395","250","0.64","0"
"2014","1 point (PPP)","All","All","All","335","210","0.623","5"
"2015","1 point (PPP)","All","All","All","360","240","0.676","5"
"2016","1 point (PPP)","All","All","All","310","215","0.685","5"
"2017","1 point (PPP)","All","All","All","245","175","0.721","0"
"2018","1 point (PPP)","All","All","All","215","155","0.734","0"
"2019","1 point (PPP)","All","All","All","225","165","0.746","0"
"2020","1 point (PPP)","All","All","All","250","200","0.792","0"
"2021","1 point (PPP)","All","All","All","375","280","0.751","0"
"2022","1 point (PPP)","All","All","All","465","310","0.667","0"
"2023","1 point (PPP)","All","All","All","500","345","0.687","5"
"2010","2 points (MPP)","All","All","All","1160","740","0.638","0"
"2011","2 points (MPP)","All","All","All","830","520","0.623","5"
"2012","2 points (MPP)","All","All","All","530","350","0.665","5"
"2013","2 points (MPP)","All","All","All","485","355","0.733","0"
"2014","2 points (MPP)","All","All","All","565","400","0.708","0"
"2015","2 points (MPP)","All","All","All","560","400","0.713","0"
"2016","2 points (MPP)","All","All","All","490","370","0.754","0"
"2017","2 points (MPP)","All","All","All","415","300","0.729","5"
"2018","2 points (MPP)","All","All","All","395","295","0.753","5"
"2019","2 points (MPP)","All","All","All","375","275","0.738","5"
"2020","2 points (MPP)","All","All","All","425","360","0.84","0"
"2021","2 points (MPP)","All","All","All","485","375","0.774","0"
"2022","2 points (MPP)","All","All","All","635","440","0.6980000000000001","0"
"2023","2 points (MPP)","All","All","All","695","525","0.754","0"
"2010","3 points (MMP)","All","All","All","1630","1095","0.671","0"
"2011","3 points (MMP)","All","All","All","1235","805","0.651","5"
"2012","3 points (MMP)","All","All","All","900","615","0.683","0"
"2013","3 points (MMP)","All","All","All","860","645","0.749","0"
"2014","3 points (MMP)","All","All","All","795","550","0.6910000000000001","5"
"2015","3 points (MMP)","All","All","All","800","570","0.711","5"
"2016","3 points (MMP)","All","All","All","770","585","0.756","5"
"2017","3 points (MMP)","All","All","All","530","380","0.716","0"
"2018","3 points (MMP)","All","All","All","570","435","0.765","0"
"2019","3 points (MMP)","All","All","All","530","400","0.76","0"
"2020","3 points (MMP)","All","All","All","500","405","0.811","0"
"2021","3 points (MMP)","All","All","All","690","555","0.805","0"
"2022","3 points (MMP)","All","All","All","775","575","0.745","0"
"2023","3 points (MMP)","All","All","All","840","605","0.721","0"
"2010","4 points (MMM)","All","All","All","4165","2950","0.708","0"
"2011","4 points (MMM)","All","All","All","3770","2655","0.704","5"
"2012","4 points (MMM)","All","All","All","3040","2140","0.7030000000000001","0"
"2013","4 points (MMM)","All","All","All","3050","2325","0.762","0"
"2014","4 points (MMM)","All","All","All","2720","2070","0.761","0"
"2015","4 points (MMM)","All","All","All","2505","1915","0.765","0"
"2016","4 points (MMM)","All","All","All","2070","1610","0.777","0"
"2017","4 points (MMM)","All","All","All","1595","1260","0.79","0"
"2018","4 points (MMM)","All","All","All","1470","1185","0.804","0"
"2019","4 points (MMM)","All","All","All","1350","1085","0.802","5"
"2020","4 points (MMM)","All","All","All","1420","1200","0.845","0"
"2021","4 points (MMM)","All","All","All","1705","1380","0.808","0"
"2022","4 points (MMM)","All","All","All","2255","1700","0.753","5"
"2023","4 points (MMM)","All","All","All","2170","1660","0.765","0"
"2010","5 points (DMM)","All","All","All","3815","2970","0.779","0"
"2011","5 points (DMM)","All","All","All","4270","3255","0.762","0"
"2012","5 points (DMM)","All","All","All","3520","2615","0.743","0"
"2013","5 points (DMM)","All","All","All","3735","2925","0.783","0"
"2014","5 points (DMM)","All","All","All","3995","3180","0.796","0"
"2015","5 points (DMM)","All","All","All","3790","3020","0.797","5"
"2016","5 points (DMM)","All","All","All","3430","2750","0.801","0"
"2017","5 points (DMM)","All","All","All","2805","2295","0.8180000000000001","0"
"2018","5 points (DMM)","All","All","All","2725","2235","0.8200000000000001","0"
"2019","5 points (DMM)","All","All","All","2470","2020","0.8190000000000001","0"
"2020","5 points (DMM)","All","All","All","2690","2330","0.866","5"
"2021","5 points (DMM)","All","All","All","3015","2490","0.8260000000000001","5"
"2022","5 points (DMM)","All","All","All","3115","2430","0.781","0"
"2023","5 points (DMM)","All","All","All","3290","2590","0.788","0"
"2010","6 points (DDM)","All","All","All","3515","2795","0.796","0"
"2011","6 points (DDM)","All","All","All","4220","3330","0.79","0"
"2012","6 points (DDM)","All","All","All","3430","2655","0.775","0"
"2013","6 points (DDM)","All","All","All","3850","3055","0.794","0"
"2014","6 points (DDM)","All","All","All","4420","3530","0.799","0"
"2015","6 points (DDM)","All","All","All","4865","4005","0.8230000000000001","0"
"2016","6 points (DDM)","All","All","All","4475","3635","0.812","0"
"2017","6 points (DDM)","All","All","All","3855","3170","0.8220000000000001","0"
"2018","6 points (DDM)","All","All","All","3325","2755","0.8290000000000001","0"
"2019","6 points (DDM)","All","All","All","3085","2570","0.834","0"
"2020","6 points (DDM)","All","All","All","3270","2825","0.863","0"
"2021","6 points (DDM)","All","All","All","3695","3085","0.836","5"
"2022","6 points (DDM)","All","All","All","3855","3060","0.793","0"
"2023","6 points (DDM)","All","All","All","3590","2880","0.802","0"
"2010","7 points (DDD)","All","All","All","5260","4265","0.811","5"
"2011","7 points (DDD)","All","All","All","6965","5685","0.8160000000000001","10"
"2012","7 points (DDD)","All","All","All","5475","4410","0.805","0"
"2013","7 points (DDD)","All","All","All","4835","3870","0.801","0"
"2014","7 points (DDD)","All","All","All","5440","4410","0.811","0"
"2015","7 points (DDD)","All","All","All","5235","4250","0.812","5"
"2016","7 points (DDD)","All","All","All","4705","3895","0.8280000000000001","0"
"2017","7 points (DDD)","All","All","All","4435","3735","0.842","5"
"2018","7 points (DDD)","All","All","All","4220","3545","0.839","0"
"2019","7 points (DDD)","All","All","All","4150","3525","0.849","0"
"2020","7 points (DDD)","All","All","All","4340","3775","0.87","5"
"2021","7 points (DDD)","All","All","All","4600","3900","0.847","5"
"2022","7 points (DDD)","All","All","All","4660","3775","0.81","0"
"2023","7 points (DDD)","All","All","All","4285","3530","0.8240000000000001","5"
"2012","8 points (D*DD)","All","All","All","315","255","0.804","0"
"2013","8 points (D*DD)","All","All","All","705","580","0.8250000000000001","0"
"2014","8 points (D*DD)","All","All","All","1190","980","0.8250000000000001","5"
"2015","8 points (D*DD)","All","All","All","2355","1960","0.833","0"
"2016","8 points (D*DD)","All","All","All","2585","2135","0.8250000000000001","0"
"2017","8 points (D*DD)","All","All","All","2495","2105","0.843","0"
"2018","8 points (D*DD)","All","All","All","2565","2150","0.838","0"
"2019","8 points (D*DD)","All","All","All","2580","2215","0.858","0"
"2020","8 points (D*DD)","All","All","All","2605","2300","0.882","0"
"2021","8 points (D*DD)","All","All","All","3225","2750","0.853","0"
"2022","8 points (D*DD)","All","All","All","3165","2620","0.8280000000000001","0"
"2023","8 points (D*DD)","All","All","All","2835","2410","0.849","0"
"2012","9 points (D*D*D)","All","All","All","1430","1155","0.808","0"
"2013","9 points (D*D*D)","All","All","All","885","725","0.8160000000000001","0"
"2014","9 points (D*D*D)","All","All","All","1345","1085","0.807","0"
"2015","9 points (D*D*D)","All","All","All","2180","1780","0.8180000000000001","0"
"2016","9 points (D*D*D)","All","All","All","2435","2010","0.8260000000000001","0"
"2017","9 points (D*D*D)","All","All","All","2585","2170","0.84","0"
"2018","9 points (D*D*D)","All","All","All","2490","2090","0.84","5"
"2019","9 points (D*D*D)","All","All","All","2410","2015","0.836","0"
"2020","9 points (D*D*D)","All","All","All","2615","2295","0.877","5"
"2021","9 points (D*D*D)","All","All","All","3080","2580","0.838","0"
"2022","9 points (D*D*D)","All","All","All","2565","2100","0.8190000000000001","0"
"2023","9 points (D*D*D)","All","All","All","2040","1685","0.8280000000000001","0"
"2012","10 points (D*D*D*)","All","All","All","25","25","0.926","0"
"2013","10 points (D*D*D*)","All","All","All","2680","2235","0.834","0"
"2014","10 points (D*D*D*)","All","All","All","3895","3250","0.834","0"
"2015","10 points (D*D*D*)","All","All","All","5235","4345","0.8310000000000001","0"
"2016","10 points (D*D*D*)","All","All","All","5330","4525","0.849","0"
"2017","10 points (D*D*D*)","All","All","All","5740","4895","0.853","0"
"2018","10 points (D*D*D*)","All","All","All","5435","4690","0.863","5"
"2019","10 points (D*D*D*)","All","All","All","4970","4280","0.861","0"
"2020","10 points (D*D*D*)","All","All","All","5525","4890","0.884","0"
"2021","10 points (D*D*D*)","All","All","All","5850","4985","0.853","0"
"2022","10 points (D*D*D*)","All","All","All","3660","3000","0.8200000000000001","5"
"2023","10 points (D*D*D*)","All","All","All","2145","1745","0.8130000000000001","0"
"2010","All","All","All","All","20340","15245","0.749","15"
"2011","All","All","All","All","21840","16560","0.758","20"
"2012","All","All","All","All","19070","14465","0.759","15"
"2013","All","All","All","All","21475","16965","0.79","10"
"2014","All","All","All","All","24700","19670","0.796","20"
"2015","All","All","All","All","27880","22490","0.807","20"
