"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","Female","25 - 29","Not EU","65","5"," "
"2022","Female","25 - 29","Not EU","85","10"," "
"2023","Female","25 - 29","Not EU","65","15","0.215"
"2021","Male","25 - 29","Not EU","5","0"," "
"2019","Female","30 - 34","Not EU","15","0"," "
"2020","Female","30 - 34","Not EU","20","0"," "
"2021","Female","30 - 34","Not EU","40","10","0.25"
"2022","Female","30 - 34","Not EU","50","0"," "
"2023","Female","30 - 34","Not EU","45","5"," "
"2022","Male","30 - 34","Not EU","5","0"," "
"2019","Female","35 and over","Not EU","10","0"," "
"2020","Female","35 and over","Not EU","15","0"," "
"2021","Female","35 and over","Not EU","40","5"," "
"2022","Female","35 and over","Not EU","45","10"," "
"2023","Female","35 and over","Not EU","35","10","0.28600000000000003"
"2022","Male","35 and over","Not EU","5","0"," "
"2019","Female","17 and under","EU (excluding UK)","55","0"," "
"2020","Female","17 and under","EU (excluding UK)","35","0"," "
"2021","Female","17 and under","EU (excluding UK)","25","5"," "
"2022","Female","17 and under","EU (excluding UK)","20","0"," "
"2023","Female","17 and under","EU (excluding UK)","25","0"," "
"2020","Male","17 and under","EU (excluding UK)","5","0"," "
"2019","Female","18","EU (excluding UK)","110","5"," "
"2020","Female","18","EU (excluding UK)","185","25","0.13"
"2021","Female","18","EU (excluding UK)","145","5"," "
"2022","Female","18","EU (excluding UK)","185","10"," "
"2023","Female","18","EU (excluding UK)","105","20","0.171"
"2021","Male","18","EU (excluding UK)","5","0"," "
"2023","Male","18","EU (excluding UK)","5","0"," "
"2019","Female","19","EU (excluding UK)","95","5"," "
"2020","Female","19","EU (excluding UK)","105","10"," "
"2021","Female","19","EU (excluding UK)","135","10"," "
"2022","Female","19","EU (excluding UK)","100","5"," "
"2023","Female","19","EU (excluding UK)","100","10","0.12"
"2019","Female","20","EU (excluding UK)","90","5"," "
"2020","Female","20","EU (excluding UK)","60","5"," "
"2021","Female","20","EU (excluding UK)","70","5"," "
"2022","Female","20","EU (excluding UK)","70","5"," "
"2023","Female","20","EU (excluding UK)","15","0"," "
"2019","Female","21 - 24","EU (excluding UK)","115","15","0.148"
"2020","Female","21 - 24","EU (excluding UK)","100","15","0.14"
"2021","Female","21 - 24","EU (excluding UK)","95","10","0.105"
"2022","Female","21 - 24","EU (excluding UK)","95","5"," "
"2023","Female","21 - 24","EU (excluding UK)","80","15","0.163"
"2020","Male","21 - 24","EU (excluding UK)","5","0"," "
"2019","Female","25 - 29","EU (excluding UK)","20","5"," "
"2020","Female","25 - 29","EU (excluding UK)","30","5"," "
"2021","Female","25 - 29","EU (excluding UK)","40","5"," "
"2022","Female","25 - 29","EU (excluding UK)","30","5"," "
"2023","Female","25 - 29","EU (excluding UK)","15","5"," "
"2020","Male","25 - 29","EU (excluding UK)","5","0"," "
"2019","Female","30 - 34","EU (excluding UK)","5","0"," "
"2020","Female","30 - 34","EU (excluding UK)","10","0"," "
"2021","Female","30 - 34","EU (excluding UK)","15","0"," "
"2022","Female","30 - 34","EU (excluding UK)","10","0"," "
"2019","Female","35 and over","EU (excluding UK)","15","0"," "
"2020","Female","35 and over","EU (excluding UK)","20","5"," "
"2021","Female","35 and over","EU (excluding UK)","20","5"," "
"2022","Female","35 and over","EU (excluding UK)","10","0"," "
"2023","Female","35 and over","EU (excluding UK)","10","0"," "
"2021","All","17 and under","Northern Ireland","5","0"," "
"2023","All","17 and under","Northern Ireland","5","0"," "
"2019","All","18","Northern Ireland","365","40","0.115"
"2020","All","18","Northern Ireland","410","80","0.193"
"2021","All","18","Northern Ireland","535","65","0.11800000000000001"
"2022","All","18","Northern Ireland","550","95","0.171"
"2023","All","18","Northern Ireland","445","70","0.162"
"2019","All","19","Northern Ireland","145","25","0.159"
"2020","All","19","Northern Ireland","115","15","0.13"
"2021","All","19","Northern Ireland","155","15","0.097"
"2022","All","19","Northern Ireland","135","20","0.156"
"2023","All","19","Northern Ireland","110","10","0.091"
"2019","All","20","Northern Ireland","50","5"," "
"2020","All","20","Northern Ireland","40","5"," "
"2021","All","20","Northern Ireland","35","5"," "
"2022","All","20","Northern Ireland","60","5"," "
"2023","All","20","Northern Ireland","60","5"," "
"2019","All","21 - 24","Northern Ireland","110","15","0.136"
"2020","All","21 - 24","Northern Ireland","115","30","0.243"
"2021","All","21 - 24","Northern Ireland","140","20","0.136"
"2022","All","21 - 24","Northern Ireland","100","10","0.11"
"2023","All","21 - 24","Northern Ireland","85","10"," "
"2019","All","25 - 29","Northern Ireland","110","25","0.218"
"2020","All","25 - 29","Northern Ireland","90","20","0.233"
"2021","All","25 - 29","Northern Ireland","105","25","0.219"
"2022","All","25 - 29","Northern Ireland","70","15","0.186"
"2023","All","25 - 29","Northern Ireland","50","10"," "
"2019","All","30 - 34","Northern Ireland","55","10"," "
"2020","All","30 - 34","Northern Ireland","60","10","0.2"
"2021","All","30 - 34","Northern Ireland","75","20","0.293"
