"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","England","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","25","5"," "
"2023","England","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2019","Northern Ireland","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","60","5"," "
"2020","Northern Ireland","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","10"," "
"2021","Northern Ireland","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","80","5"," "
"2022","Northern Ireland","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","80","10"," "
"2023","Northern Ireland","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","5"," "
"2019","Scotland","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","5"," "
"2020","Scotland","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2021","Scotland","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2022","Scotland","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Scotland","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Wales","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Wales","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Wales","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","England","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","England","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","England","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","England","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2023","England","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","Northern Ireland","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","0"," "
"2020","Northern Ireland","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","25","0"," "
"2021","Northern Ireland","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","0"," "
"2022","Northern Ireland","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","0"," "
"2023","Northern Ireland","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","5"," "
"2019","Scotland","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Scotland","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Wales","20","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","England","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","England","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","5"," "
"2021","England","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2022","England","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","0"," "
