"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","International","Not EU","Ghana","30 - 34","Female","5","0"," "
"2021","International","Not EU","India","30 - 34","Female","5","0"," "
"2022","International","Not EU","India","30 - 34","Female","10","5"," "
"2023","International","Not EU","India","30 - 34","Female","10","0"," "
"2023","International","Not EU","Malaysia","30 - 34","Female","5","0"," "
"2019","International","Not EU","Mexico","30 - 34","Female","5","0"," "
"2020","International","Not EU","Oman","30 - 34","Female","5","0"," "
"2021","International","Not EU","Oman","30 - 34","Female","5","0"," "
"2019","International","Not EU","Nigeria","30 - 34","Female","5","0"," "
"2020","International","Not EU","Nigeria","30 - 34","Female","5","0"," "
"2022","International","Not EU","Nigeria","30 - 34","Female","5","0"," "
"2023","International","Not EU","Nigeria","30 - 34","Female","15","0"," "
"2023","International","Not EU","Pakistan","30 - 34","Female","5","0"," "
"2022","International","Not EU","Singapore","30 - 34","Female","5","5"," "
"2020","International","Not EU","South Africa","30 - 34","Female","5","0"," "
"2022","International","Not EU","Thailand","30 - 34","Female","5","0"," "
"2019","International","Not EU","United Arab Emirates","30 - 34","Female","5","0"," "
"2020","International","Not EU","United Arab Emirates","30 - 34","Female","5","0"," "
"2019","International","Not EU","United States of America","30 - 34","Female","5","0"," "
"2021","International","Not EU","United States of America","30 - 34","Female","5","0"," "
"2023","International","Not EU","United States of America","30 - 34","Female","5","0"," "
"2022","International","Not EU","Vietnam [Viet Nam]","30 - 34","Female","5","0"," "
"2019","International","Not EU","Not Known","30 - 34","Female","5","0"," "
"2019","UK","England","England","35 and over","Female","30","5"," "
"2020","UK","England","England","35 and over","Female","15","10"," "
"2021","UK","England","England","35 and over","Female","30","15","0.433"
"2022","UK","England","England","35 and over","Female","20","10"," "
"2023","UK","England","England","35 and over","Female","10","5"," "
"2019","UK","Northern Ireland","Northern Ireland","35 and over","Female","10","0"," "
"2020","UK","Northern Ireland","Northern Ireland","35 and over","Female","5","0"," "
"2021","UK","Northern Ireland","Northern Ireland","35 and over","Female","5","0"," "
"2022","UK","Northern Ireland","Northern Ireland","35 and over","Female","5","0"," "
"2023","UK","Northern Ireland","Northern Ireland","35 and over","Female","5","0"," "
"2019","UK","Scotland","Scotland","35 and over","Female","2005","465","0.231"
"2020","UK","Scotland","Scotland","35 and over","Female","2145","555","0.258"
"2021","UK","Scotland","Scotland","35 and over","Female","2340","480","0.20600000000000002"
"2022","UK","Scotland","Scotland","35 and over","Female","1705","440","0.257"
"2023","UK","Scotland","Scotland","35 and over","Female","1410","450","0.319"
"2022","UK","Wales","Wales","35 and over","Female","140","70","0.486"
"2023","UK","Wales","Wales","35 and over","Female","125","65","0.504"
"2019","International","EU (excluding UK)","Austria","35 and over","Female","5","0"," "
"2020","International","EU (excluding UK)","Austria","35 and over","Female","5","0"," "
"2023","International","EU (excluding UK)","Belgium","35 and over","Female","10","5"," "
"2019","International","EU (excluding UK)","France","35 and over","Female","5","5"," "
"2020","International","EU (excluding UK)","France","35 and over","Female","10","5"," "
"2019","International","EU (excluding UK)","Hungary","35 and over","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","35 and over","Female","10","5"," "
"2020","International","EU (excluding UK)","Ireland","35 and over","Female","10","0"," "
"2021","International","EU (excluding UK)","Ireland","35 and over","Female","5","0"," "
"2023","International","EU (excluding UK)","Ireland","35 and over","Female","5","0"," "
"2020","International","EU (excluding UK)","Italy","35 and over","Female","5","0"," "
"2019","International","EU (excluding UK)","Netherlands","35 and over","Female","5","0"," "
"2020","International","EU (excluding UK)","Portugal","35 and over","Female","5","0"," "
"2022","International","EU (excluding UK)","Portugal","35 and over","Female","5","0"," "
"2022","International","EU (excluding UK)","Romania","35 and over","Female","5","0"," "
"2019","International","EU (excluding UK)","Spain","35 and over","Female","5","0"," "
"2021","International","EU (excluding UK)","Spain","35 and over","Female","5","0"," "
"2022","International","EU (excluding UK)","Spain","35 and over","Female","10","0"," "
"2020","International","EU (excluding UK)","Estonia","35 and over","Female","5","0"," "
"2019","International","Not EU","Canada","35 and over","Female","5","0"," "
"2020","International","Not EU","Canada","35 and over","Female","5","0"," "
"2023","International","Not EU","Sri Lanka","35 and over","Female","5","0"," "
"2019","International","Not EU","China","35 and over","Female","5","0"," "
"2022","International","Not EU","Hong Kong","35 and over","Female","5","0"," "
"2019","International","Not EU","India","35 and over","Female","5","0"," "
"2021","International","Not EU","India","35 and over","Female","5","0"," "
"2022","International","Not EU","India","35 and over","Female","5","0"," "
"2023","International","Not EU","India","35 and over","Female","10","0"," "
"2022","International","Not EU","Korea, Republic of","35 and over","Female","5","0"," "
"2020","International","Not EU","Oman","35 and over","Female","5","0"," "
"2020","International","Not EU","Nigeria","35 and over","Female","10","0"," "
"2021","International","Not EU","Nigeria","35 and over","Female","10","0"," "
"2022","International","Not EU","Nigeria","35 and over","Female","10","0"," "
"2023","International","Not EU","Nigeria","35 and over","Female","20","0"," "
"2021","International","Not EU","Pakistan","35 and over","Female","5","0"," "
"2021","International","Not EU","Qatar","35 and over","Female","5","0"," "
"2022","International","Not EU","Saudi Arabia","35 and over","Female","5","0"," "
"2022","International","Not EU","Singapore","35 and over","Female","5","0"," "
"2022","International","Not EU","South Africa","35 and over","Female","5","0"," "
"2022","International","Not EU","Switzerland","35 and over","Female","5","0"," "
"2022","International","Not EU","Tanzania, United Republic of","35 and over","Female","5","0"," "
