"Year","UK region","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","South West","35 and over","All","Male","All","All","650","420","0.641","10"
"2016","South West","35 and over","All","Male","All","All","615","410","0.668","15"
"2017","South West","35 and over","All","Male","All","All","485","340","0.6980000000000001","10"
"2018","South West","35 and over","All","Male","All","All","490","355","0.729","10"
"2019","South West","35 and over","All","Male","All","All","500","350","0.6970000000000001","15"
"2020","South West","35 and over","All","Male","All","All","540","385","0.712","25"
"2021","South West","35 and over","All","Male","All","All","475","325","0.687","10"
"2022","South West","35 and over","All","Male","All","All","475","315","0.66","15"
"2023","South West","35 and over","All","Male","All","All","500","330","0.659","20"
"2006","Northern Ireland","35 and over","All","Male","All","All","85","55","0.621","0"
"2007","Northern Ireland","35 and over","All","Male","All","All","110","75","0.673","0"
"2008","Northern Ireland","35 and over","All","Male","All","All","100","65","0.677","0"
"2009","Northern Ireland","35 and over","All","Male","All","All","110","65","0.62","5"
"2010","Northern Ireland","35 and over","All","Male","All","All","125","70","0.5630000000000001","5"
"2011","Northern Ireland","35 and over","All","Male","All","All","110","65","0.609","0"
"2012","Northern Ireland","35 and over","All","Male","All","All","120","60","0.504","0"
"2013","Northern Ireland","35 and over","All","Male","All","All","130","80","0.625","0"
"2014","Northern Ireland","35 and over","All","Male","All","All","135","85","0.647","0"
"2015","Northern Ireland","35 and over","All","Male","All","All","130","70","0.534","0"
"2016","Northern Ireland","35 and over","All","Male","All","All","135","90","0.65","0"
"2017","Northern Ireland","35 and over","All","Male","All","All","110","55","0.495","0"
"2018","Northern Ireland","35 and over","All","Male","All","All","100","60","0.608","0"
"2019","Northern Ireland","35 and over","All","Male","All","All","85","50","0.583","0"
"2020","Northern Ireland","35 and over","All","Male","All","All","115","80","0.6960000000000001","0"
"2021","Northern Ireland","35 and over","All","Male","All","All","110","55","0.509","0"
"2022","Northern Ireland","35 and over","All","Male","All","All","110","55","0.491","0"
"2023","Northern Ireland","35 and over","All","Male","All","All","110","60","0.5690000000000001","0"
"2006","Scotland","35 and over","All","Male","All","All","585","410","0.705","10"
"2007","Scotland","35 and over","All","Male","All","All","635","470","0.743","10"
"2008","Scotland","35 and over","All","Male","All","All","615","455","0.738","20"
"2009","Scotland","35 and over","All","Male","All","All","715","530","0.742","20"
"2010","Scotland","35 and over","All","Male","All","All","905","620","0.685","15"
"2011","Scotland","35 and over","All","Male","All","All","780","495","0.635","10"
"2012","Scotland","35 and over","All","Male","All","All","845","545","0.643","20"
"2013","Scotland","35 and over","All","Male","All","All","820","525","0.641","15"
"2014","Scotland","35 and over","All","Male","All","All","785","445","0.5670000000000001","10"
"2015","Scotland","35 and over","All","Male","All","All","1135","715","0.628","15"
"2016","Scotland","35 and over","All","Male","All","All","1210","705","0.584","25"
"2017","Scotland","35 and over","All","Male","All","All","1120","685","0.609","25"
"2018","Scotland","35 and over","All","Male","All","All","1220","725","0.596","15"
"2019","Scotland","35 and over","All","Male","All","All","1190","695","0.585","25"
"2020","Scotland","35 and over","All","Male","All","All","1340","880","0.656","40"
"2021","Scotland","35 and over","All","Male","All","All","1330","770","0.579","15"
"2022","Scotland","35 and over","All","Male","All","All","1015","670","0.661","25"
"2023","Scotland","35 and over","All","Male","All","All","975","645","0.661","35"
"2006","Wales","35 and over","All","Male","All","All","310","210","0.685","5"
"2007","Wales","35 and over","All","Male","All","All","310","210","0.682","10"
"2008","Wales","35 and over","All","Male","All","All","350","260","0.744","5"
"2009","Wales","35 and over","All","Male","All","All","460","330","0.717","15"
"2010","Wales","35 and over","All","Male","All","All","395","250","0.627","10"
"2011","Wales","35 and over","All","Male","All","All","365","220","0.602","10"
"2012","Wales","35 and over","All","Male","All","All","330","230","0.6990000000000001","10"
"2013","Wales","35 and over","All","Male","All","All","360","255","0.707","5"
"2014","Wales","35 and over","All","Male","All","All","370","255","0.6900000000000001","5"
"2015","Wales","35 and over","All","Male","All","All","325","225","0.682","10"
"2016","Wales","35 and over","All","Male","All","All","310","195","0.624","10"
"2017","Wales","35 and over","All","Male","All","All","350","270","0.764","15"
"2018","Wales","35 and over","All","Male","All","All","345","260","0.764","5"
"2019","Wales","35 and over","All","Male","All","All","360","275","0.763","10"
"2020","Wales","35 and over","All","Male","All","All","350","260","0.739","15"
"2021","Wales","35 and over","All","Male","All","All","275","175","0.641","10"
"2022","Wales","35 and over","All","Male","All","All","355","245","0.681","10"
"2023","Wales","35 and over","All","Male","All","All","295","200","0.68","10"
"2006","Unknown","35 and over","All","Male","All","All","120","100","0.856","0"
"2007","Unknown","35 and over","All","Male","All","All","120","100","0.843","5"
"2008","Unknown","35 and over","All","Male","All","All","180","130","0.721","0"
"2009","Unknown","35 and over","All","Male","All","All","120","95","0.782","0"
"2010","Unknown","35 and over","All","Male","All","All","50","35","0.66","0"
"2011","Unknown","35 and over","All","Male","All","All","35","20","0.528","0"
"2012","Unknown","35 and over","All","Male","All","All","35","20","0.647","0"
"2013","Unknown","35 and over","All","Male","All","All","35","20","0.629","5"
"2014","Unknown","35 and over","All","Male","All","All","30","20","0.6880000000000001","0"
"2015","Unknown","35 and over","All","Male","All","All","40","30","0.738","0"
"2016","Unknown","35 and over","All","Male","All","All","40","25","0.65","0"
"2017","Unknown","35 and over","All","Male","All","All","30","20","0.733","0"
"2018","Unknown","35 and over","All","Male","All","All","50","40","0.8130000000000001","0"
"2019","Unknown","35 and over","All","Male","All","All","45","35","0.795","0"
"2020","Unknown","35 and over","All","Male","All","All","35","25","0.758","0"
"2021","Unknown","35 and over","All","Male","All","All","305","290","0.9570000000000001","0"
"2022","Unknown","35 and over","All","Male","All","All","65","60","0.937","0"
"2023","Unknown","35 and over","All","Male","All","All","315","310","0.987","0"
"2006","All","17 and under","All","Female","All","All","1595","1120","0.7010000000000001","10"
"2007","All","17 and under","All","Female","All","All","1675","1215","0.723","15"
"2008","All","17 and under","All","Female","All","All","1860","1310","0.7030000000000001","30"
"2009","All","17 and under","All","Female","All","All","1805","1220","0.676","30"
"2010","All","17 and under","All","Female","All","All","1700","1045","0.615","20"
"2011","All","17 and under","All","Female","All","All","1410","855","0.606","15"
"2012","All","17 and under","All","Female","All","All","1145","765","0.669","10"
"2013","All","17 and under","All","Female","All","All","1070","725","0.679","15"
"2014","All","17 and under","All","Female","All","All","1075","705","0.654","10"
"2015","All","17 and under","All","Female","All","All","1155","790","0.684","10"
"2016","All","17 and under","All","Female","All","All","1140","755","0.663","15"
"2017","All","17 and under","All","Female","All","All","1115","780","0.6980000000000001","5"
"2018","All","17 and under","All","Female","All","All","1125","840","0.748","10"
"2019","All","17 and under","All","Female","All","All","1155","815","0.706","10"
"2020","All","17 and under","All","Female","All","All","1265","935","0.742","25"
"2021","All","17 and under","All","Female","All","All","1315","900","0.687","10"
"2022","All","17 and under","All","Female","All","All","1520","1005","0.662","20"
"2023","All","17 and under","All","Female","All","All","1495","1055","0.706","25"
"2006","All","18","All","Female","All","All","127490","106800","0.838","125"
"2007","All","18","All","Female","All","All","128585","107610","0.837","145"
"2008","All","18","All","Female","All","All","136730","115755","0.847","210"
"2009","All","18","All","Female","All","All","142730","118765","0.8320000000000001","220"
"2010","All","18","All","Female","All","All","149740","117620","0.785","130"
"2011","All","18","All","Female","All","All","149105","119885","0.804","145"
"2012","All","18","All","Female","All","All","145495","118090","0.812","115"
"2013","All","18","All","Female","All","All","146435","121725","0.8310000000000001","130"
"2014","All","18","All","Female","All","All","149705","124725","0.833","130"
"2015","All","18","All","Female","All","All","157505","132470","0.841","135"
"2016","All","18","All","Female","All","All","158435","134475","0.849","120"
"2017","All","18","All","Female","All","All","158880","136145","0.857","140"
"2018","All","18","All","Female","All","All","156525","134645","0.86","105"
"2019","All","18","All","Female","All","All","158675","136555","0.861","110"
"2020","All","18","All","Female","All","All","163955","146090","0.891","225"
"2021","All","18","All","Female","All","All","178620","155505","0.871","105"
"2022","All","18","All","Female","All","All","186080","156220","0.84","125"
"2023","All","18","All","Female","All","All","180690","152720","0.845","150"
"2006","All","19","All","Female","All","All","36525","30210","0.8270000000000001","205"
"2007","All","19","All","Female","All","All","44010","36830","0.837","260"
"2008","All","19","All","Female","All","All","48345","40725","0.842","285"
"2009","All","19","All","Female","All","All","51390","42505","0.8270000000000001","370"
"2010","All","19","All","Female","All","All","56760","44445","0.783","305"
"2011","All","19","All","Female","All","All","59225","46515","0.785","280"
"2012","All","19","All","Female","All","All","50365","40205","0.798","190"
"2013","All","19","All","Female","All","All","55865","46255","0.8280000000000001","215"
"2014","All","19","All","Female","All","All","57140","47415","0.8300000000000001","205"
"2015","All","19","All","Female","All","All","58025","48885","0.842","205"
"2016","All","19","All","Female","All","All","58700","49465","0.843","200"
"2017","All","19","All","Female","All","All","55500","47340","0.853","185"
"2018","All","19","All","Female","All","All","53855","46045","0.855","165"
"2019","All","19","All","Female","All","All","53250","45425","0.853","175"
"2020","All","19","All","Female","All","All","51425","44625","0.868","210"
"2021","All","19","All","Female","All","All","50360","42280","0.84","145"
"2022","All","19","All","Female","All","All","51680","42275","0.8180000000000001","235"
"2023","All","19","All","Female","All","All","51370","42615","0.8300000000000001","245"
"2006","All","20","All","Female","All","All","14500","11080","0.764","215"
