"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Female","21 - 24","Wales","Main scheme applicant","Main scheme application","445","305","0.686","0"
"2022","Male","21 - 24","Wales","Main scheme applicant","Main scheme application","160","105","0.65","0"
"2023","Male","21 - 24","Wales","Main scheme applicant","Main scheme application","160","115","0.734","0"
"2022","Female","25 - 29","Wales","Main scheme applicant","Main scheme application","160","105","0.648","0"
"2023","Female","25 - 29","Wales","Main scheme applicant","Main scheme application","145","100","0.6990000000000001","0"
"2020","Male","25 - 29","Wales","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Male","25 - 29","Wales","Main scheme applicant","Main scheme application","70","50","0.722","0"
"2023","Male","25 - 29","Wales","Main scheme applicant","Main scheme application","75","50","0.653","0"
"2022","Female","30 - 34","Wales","Main scheme applicant","Main scheme application","60","45","0.767","0"
"2023","Female","30 - 34","Wales","Main scheme applicant","Main scheme application","55","35","0.632","0"
"2022","Male","30 - 34","Wales","Main scheme applicant","Main scheme application","35","25","0.6970000000000001","0"
"2023","Male","30 - 34","Wales","Main scheme applicant","Main scheme application","20","15","0.714","0"
"2022","Female","35 and over","Wales","Main scheme applicant","Main scheme application","90","50","0.533","0"
"2023","Female","35 and over","Wales","Main scheme applicant","Main scheme application","65","40","0.621","0"
"2022","Male","35 and over","Wales","Main scheme applicant","Main scheme application","35","25","0.676","0"
"2023","Male","35 and over","Wales","Main scheme applicant","Main scheme application","25","15","0.52","0"
"2019","Female","21 - 24","Not EU","Main scheme applicant","Main scheme application","15","5"," ","0"
"2020","Female","21 - 24","Not EU","Main scheme applicant","Main scheme application","25","5"," ","0"
"2021","Female","21 - 24","Not EU","Main scheme applicant","Main scheme application","15","0"," ","0"
"2022","Female","21 - 24","Not EU","Main scheme applicant","Main scheme application","15","5"," ","0"
"2023","Female","21 - 24","Not EU","Main scheme applicant","Main scheme application","20","5"," ","0"
"2020","Male","21 - 24","Not EU","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Male","21 - 24","Not EU","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Male","21 - 24","Not EU","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","Male","21 - 24","Not EU","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","Female","25 - 29","Not EU","Main scheme applicant","Main scheme application","15","5"," ","0"
