"Year","Predicted SQA higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","18 point(s)","Quintile 1","All","All","5","5"," ","0"
"2016","19 point(s)","Quintile 1","All","All","5","5"," ","0"
"2017","19 point(s)","Quintile 1","All","All","5","5"," ","0"
"2018","19 point(s)","Quintile 1","All","All","5","5"," ","0"
"2020","19 point(s)","Quintile 1","All","All","5","5"," ","0"
"2021","19 point(s)","Quintile 1","All","All","5","5"," ","0"
"2022","19 point(s)","Quintile 1","All","All","5","0"," ","0"
"2023","19 point(s)","Quintile 1","All","All","10","5"," ","0"
"2020","20 point(s)","Quintile 1","All","All","5","5"," ","0"
"2022","20 point(s)","Quintile 1","All","All","5","5"," ","0"
"2023","20 point(s)","Quintile 1","All","All","5","5"," ","0"
"2022","10 point(s)","Quintile 2","All","All","5","0"," ","0"
"2013","11 point(s)","Quintile 2","All","All","5","5"," ","0"
