"Year","MEM quintile","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2013","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","78070","0.001"
"2014","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","38260","0"
"2014","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","46110","0"
"2014","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","53530","0.001"
"2014","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","76360","0.001"
"2014","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","70","77390","0.001"
"2015","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","39660","0"
"2015","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","46570","0.001"
"2015","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","54570","0.001"
"2015","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","77870","0.001"
"2015","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","79680","0.001"
"2016","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","39810","0"
"2016","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","44630","0.001"
"2016","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","52740","0.001"
"2016","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","77300","0.001"
"2016","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","78790","0.001"
"2017","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","38580","0"
"2017","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","44030","0.001"
"2017","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","51410","0.001"
"2017","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","76960","0.001"
"2017","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","130","79370","0.002"
"2018","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","37730","0"
"2018","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","42420","0.001"
"2018","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","49210","0.001"
"2018","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","110","76430","0.001"
"2018","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","120","78400","0.002"
"2019","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","35990","0.001"
"2019","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","41220","0.001"
"2019","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","48110","0.001"
"2019","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","130","74760","0.002"
"2019","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","180","77610","0.002"
"2020","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","34970","0.001"
"2020","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","70","40040","0.002"
"2020","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","47330","0.002"
"2020","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","190","74620","0.003"
"2020","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","230","78010","0.003"
"2021","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","37060","0.001"
"2021","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","40780","0.001"
