"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","All","23130","14780","0.639"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","All","25235","15360","0.609"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","All","24290","15320","0.631"
"2019","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","All","380","280","0.733"
"2020","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","All","410","275","0.665"
"2021","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","All","415","280","0.678"
"2022","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","All","480","330","0.6930000000000001"
"2023","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","All","490","340","0.6950000000000001"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","All","11340","9885","0.872"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","All","11495","10180","0.886"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","All","12830","11480","0.895"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","All","12980","11890","0.916"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","All","11660","10520","0.902"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","All","3490","3070","0.88"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","All","3755","3315","0.882"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","All","3420","2870","0.839"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","All","3725","2925","0.785"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","All","3455","2720","0.787"
"2019","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","All","825","410","0.497"
"2020","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","All","910","530","0.581"
"2021","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","All","1130","495","0.438"
"2022","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","All","1400","700","0.5"
"2023","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","All","990","525","0.532"
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","All","13325","2930","0.22"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","All","14365","3025","0.21"
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","All","15690","2540","0.162"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","All","17835","1880","0.106"
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","All","21245","2250","0.106"
"2019","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","All","63970","19850","0.31"
"2020","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","All","66270","19525","0.295"
"2021","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","All","83625","18090","0.216"
"2022","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","All","87960","14370","0.163"
"2023","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","All","78845","17190","0.218"
"2019","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","All","1575","1305","0.8300000000000001"
"2020","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","All","1640","1370","0.837"
"2021","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","All","1560","1250","0.802"
"2022","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","All","2005","1225","0.61"
"2023","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","All","2120","1505","0.711"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","All","51860","44755","0.863"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","All","46570","40710","0.874"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","All","45495","38810","0.853"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","All","45840","37390","0.8160000000000001"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","All","46615","38760","0.8320000000000001"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","All","3355","2915","0.869"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","All","3095","2730","0.882"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","All","3080","2655","0.862"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","All","3775","3125","0.8280000000000001"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","All","4360","3705","0.85"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","All","5665","5010","0.884"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","All","5395","4720","0.875"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","All","5595","4785","0.856"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","All","6755","5030","0.745"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","All","7290","5700","0.782"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","All","4295","3195","0.744"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","All","4230","3135","0.741"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","All","4220","3215","0.762"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","All","4750","3415","0.719"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","All","4655","3470","0.745"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","All","14950","12245","0.8190000000000001"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","All","14630","12025","0.8220000000000001"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","All","15360","12130","0.79"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","All","16870","12430","0.737"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","All","16760","12730","0.76"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","All","4100","3545","0.864"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","All","3945","3440","0.872"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","All","3625","3065","0.846"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","All","3510","2935","0.837"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","All","3585","3090","0.862"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","All","85","70","0.805"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","All","105","75","0.736"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","All","90","80","0.864"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","All","110","100","0.898"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","All","125","105","0.833"
"2019","(CAH11) computing","(CAH11-01-08) others in computing","All","All","4365","3880","0.889"
"2020","(CAH11) computing","(CAH11-01-08) others in computing","All","All","4210","3745","0.889"
"2021","(CAH11) computing","(CAH11-01-08) others in computing","All","All","3920","3490","0.89"
"2022","(CAH11) computing","(CAH11-01-08) others in computing","All","All","4330","3665","0.846"
"2023","(CAH11) computing","(CAH11-01-08) others in computing","All","All","4645","3850","0.8290000000000001"
"2019","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","All","1590","1070","0.673"
"2020","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","All","2015","1425","0.707"
"2021","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","All","2620","1585","0.604"
"2022","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","All","2900","1660","0.5730000000000001"
"2023","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","All","3285","2010","0.612"
"2019","(CAH11) computing","(CAH11-01-07) business computing","All","All","4350","3785","0.87"
"2020","(CAH11) computing","(CAH11-01-07) business computing","All","All","3845","3460","0.9"
"2021","(CAH11) computing","(CAH11-01-07) business computing","All","All","3505","3200","0.913"
"2022","(CAH11) computing","(CAH11-01-07) business computing","All","All","3605","3190","0.884"
"2023","(CAH11) computing","(CAH11-01-07) business computing","All","All","3150","2760","0.876"
"2019","(CAH11) computing","(CAH11-01-06) computer games and animation","All","All","18410","14275","0.775"
"2020","(CAH11) computing","(CAH11-01-06) computer games and animation","All","All","18065","14105","0.781"
"2021","(CAH11) computing","(CAH11-01-06) computer games and animation","All","All","19010","15405","0.81"
"2022","(CAH11) computing","(CAH11-01-06) computer games and animation","All","All","23375","18245","0.78"
"2023","(CAH11) computing","(CAH11-01-06) computer games and animation","All","All","23485","18750","0.798"
"2019","(CAH11) computing","(CAH11-01-01) computer science","All","All","62490","48245","0.772"
"2020","(CAH11) computing","(CAH11-01-01) computer science","All","All","64020","49630","0.775"
