"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","White","35 and over","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.783"
"2019","Black","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Black","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Black","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Black","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Black","35 and over","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.591"
"2023","Asian","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Mixed","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Mixed","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Unknown or Prefer Not To Say","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Unknown or Prefer Not To Say","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","White","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","White","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","White","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","White","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","White","18","England","Female","Main scheme applicant","Not main scheme application","70","55","0.75"
"2020","White","18","England","Female","Main scheme applicant","Not main scheme application","60","50","0.839"
"2021","White","18","England","Female","Main scheme applicant","Not main scheme application","50","20","0.449"
"2022","White","18","England","Female","Main scheme applicant","Not main scheme application","80","40","0.494"
"2023","White","18","England","Female","Main scheme applicant","Not main scheme application","75","60","0.779"
"2019","White","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","White","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2021","White","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","White","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","White","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","White","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","White","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2023","White","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2019","Black","18","England","Female","Main scheme applicant","Not main scheme application","15","10","0.588"
"2020","Black","18","England","Female","Main scheme applicant","Not main scheme application","25","20","0.913"
"2021","Black","18","England","Female","Main scheme applicant","Not main scheme application","15","10"," "
"2022","Black","18","England","Female","Main scheme applicant","Not main scheme application","55","35","0.655"
"2023","Black","18","England","Female","Main scheme applicant","Not main scheme application","40","35","0.9470000000000001"
"2019","Asian","18","England","Female","Main scheme applicant","Not main scheme application","15","10","0.588"
"2020","Asian","18","England","Female","Main scheme applicant","Not main scheme application","15","10","0.786"
"2021","Asian","18","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2022","Asian","18","England","Female","Main scheme applicant","Not main scheme application","40","25","0.675"
"2023","Asian","18","England","Female","Main scheme applicant","Not main scheme application","35","30","0.811"
"2019","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","15","10"," "
"2023","Mixed","18","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Other","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
