"Year","Difference between predicted and achieved BTEC Extended diploma points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","-3 points","Quintile 4","Main scheme applicant","All","235","175","0.752","0"
"2022","-3 points","Quintile 4","Main scheme applicant","All","260","180","0.687","0"
"2023","-3 points","Quintile 4","Main scheme applicant","All","260","175","0.678","0"
"2010","-4 points","Quintile 4","Main scheme applicant","All","105","45","0.417","0"
"2011","-4 points","Quintile 4","Main scheme applicant","All","90","45","0.494","0"
"2012","-4 points","Quintile 4","Main scheme applicant","All","110","55","0.5","0"
"2013","-4 points","Quintile 4","Main scheme applicant","All","120","70","0.587","0"
"2014","-4 points","Quintile 4","Main scheme applicant","All","140","75","0.518","0"
"2015","-4 points","Quintile 4","Main scheme applicant","All","170","105","0.631","0"
"2016","-4 points","Quintile 4","Main scheme applicant","All","105","65","0.632","0"
"2017","-4 points","Quintile 4","Main scheme applicant","All","90","60","0.663","0"
"2018","-4 points","Quintile 4","Main scheme applicant","All","130","95","0.729","0"
"2019","-4 points","Quintile 4","Main scheme applicant","All","145","100","0.6990000000000001","0"
"2020","-4 points","Quintile 4","Main scheme applicant","All","105","90","0.876","0"
"2021","-4 points","Quintile 4","Main scheme applicant","All","105","75","0.7010000000000001","0"
"2022","-4 points","Quintile 4","Main scheme applicant","All","155","105","0.684","0"
"2023","-4 points","Quintile 4","Main scheme applicant","All","160","100","0.623","0"
"2010","-5 points","Quintile 4","Main scheme applicant","All","40","25","0.625","0"
"2011","-5 points","Quintile 4","Main scheme applicant","All","70","40","0.557","0"
"2012","-5 points","Quintile 4","Main scheme applicant","All","50","20","0.423","0"
"2013","-5 points","Quintile 4","Main scheme applicant","All","90","60","0.667","0"
"2014","-5 points","Quintile 4","Main scheme applicant","All","100","65","0.663","0"
"2015","-5 points","Quintile 4","Main scheme applicant","All","105","60","0.5710000000000001","0"
"2016","-5 points","Quintile 4","Main scheme applicant","All","70","35","0.536","0"
"2017","-5 points","Quintile 4","Main scheme applicant","All","75","50","0.623","0"
"2018","-5 points","Quintile 4","Main scheme applicant","All","70","45","0.676","0"
"2019","-5 points","Quintile 4","Main scheme applicant","All","90","60","0.682","0"
"2020","-5 points","Quintile 4","Main scheme applicant","All","45","35","0.761","0"
"2021","-5 points","Quintile 4","Main scheme applicant","All","40","30","0.725","0"
"2022","-5 points","Quintile 4","Main scheme applicant","All","85","45","0.548","0"
"2023","-5 points","Quintile 4","Main scheme applicant","All","70","35","0.485","0"
"2010","-6 points","Quintile 4","Main scheme applicant","All","40","30","0.707","0"
"2011","-6 points","Quintile 4","Main scheme applicant","All","70","45","0.643","0"
"2012","-6 points","Quintile 4","Main scheme applicant","All","55","30","0.537","0"
"2013","-6 points","Quintile 4","Main scheme applicant","All","45","30","0.674","0"
"2014","-6 points","Quintile 4","Main scheme applicant","All","75","45","0.616","0"
"2015","-6 points","Quintile 4","Main scheme applicant","All","80","50","0.615","0"
"2016","-6 points","Quintile 4","Main scheme applicant","All","55","35","0.623","0"
"2017","-6 points","Quintile 4","Main scheme applicant","All","55","30","0.556","0"
"2018","-6 points","Quintile 4","Main scheme applicant","All","55","35","0.642","0"
"2019","-6 points","Quintile 4","Main scheme applicant","All","60","35","0.541","0"
"2020","-6 points","Quintile 4","Main scheme applicant","All","35","25","0.735","0"
"2021","-6 points","Quintile 4","Main scheme applicant","All","35","20","0.636","0"
"2022","-6 points","Quintile 4","Main scheme applicant","All","65","30","0.439","0"
"2023","-6 points","Quintile 4","Main scheme applicant","All","40","15","0.436","0"
"2010","Less than -6 points","Quintile 4","Main scheme applicant","All","45","30","0.721","0"
"2011","Less than -6 points","Quintile 4","Main scheme applicant","All","65","50","0.758","0"
"2012","Less than -6 points","Quintile 4","Main scheme applicant","All","65","50","0.758","0"
"2013","Less than -6 points","Quintile 4","Main scheme applicant","All","85","60","0.723","0"
"2014","Less than -6 points","Quintile 4","Main scheme applicant","All","120","80","0.681","0"
"2015","Less than -6 points","Quintile 4","Main scheme applicant","All","170","110","0.663","0"
"2016","Less than -6 points","Quintile 4","Main scheme applicant","All","110","65","0.609","0"
"2017","Less than -6 points","Quintile 4","Main scheme applicant","All","105","75","0.717","0"
"2018","Less than -6 points","Quintile 4","Main scheme applicant","All","120","80","0.683","0"
"2019","Less than -6 points","Quintile 4","Main scheme applicant","All","125","85","0.669","0"
"2020","Less than -6 points","Quintile 4","Main scheme applicant","All","60","45","0.783","0"
"2021","Less than -6 points","Quintile 4","Main scheme applicant","All","55","35","0.685","0"
"2022","Less than -6 points","Quintile 4","Main scheme applicant","All","95","50","0.536","0"
"2023","Less than -6 points","Quintile 4","Main scheme applicant","All","65","45","0.6980000000000001","0"
"2010","0 points","Quintile 5","Main scheme applicant","All","1525","1210","0.792","0"
"2011","0 points","Quintile 5","Main scheme applicant","All","1680","1360","0.809","0"
"2012","0 points","Quintile 5","Main scheme applicant","All","635","505","0.793","0"
"2013","0 points","Quintile 5","Main scheme applicant","All","1090","905","0.8320000000000001","0"
"2014","0 points","Quintile 5","Main scheme applicant","All","1290","1075","0.834","0"
"2015","0 points","Quintile 5","Main scheme applicant","All","1565","1325","0.847","0"
"2016","0 points","Quintile 5","Main scheme applicant","All","1650","1380","0.837","0"
"2017","0 points","Quintile 5","Main scheme applicant","All","1660","1400","0.843","0"
"2018","0 points","Quintile 5","Main scheme applicant","All","1595","1360","0.851","0"
"2019","0 points","Quintile 5","Main scheme applicant","All","1450","1250","0.861","0"
"2020","0 points","Quintile 5","Main scheme applicant","All","1570","1380","0.878","0"
"2021","0 points","Quintile 5","Main scheme applicant","All","1960","1685","0.861","0"
"2022","0 points","Quintile 5","Main scheme applicant","All","1385","1145","0.8260000000000001","0"
"2023","0 points","Quintile 5","Main scheme applicant","All","1265","1045","0.8270000000000001","0"
"2010","1 points","Quintile 5","Main scheme applicant","All","795","645","0.811","0"
"2011","1 points","Quintile 5","Main scheme applicant","All","795","680","0.856","0"
"2012","1 points","Quintile 5","Main scheme applicant","All","705","570","0.811","0"
"2013","1 points","Quintile 5","Main scheme applicant","All","655","560","0.851","0"
"2014","1 points","Quintile 5","Main scheme applicant","All","650","540","0.8250000000000001","0"
"2015","1 points","Quintile 5","Main scheme applicant","All","820","710","0.865","0"
"2016","1 points","Quintile 5","Main scheme applicant","All","880","760","0.867","0"
"2017","1 points","Quintile 5","Main scheme applicant","All","880","755","0.859","0"
"2018","1 points","Quintile 5","Main scheme applicant","All","710","605","0.848","0"
"2019","1 points","Quintile 5","Main scheme applicant","All","700","600","0.858","0"
"2020","1 points","Quintile 5","Main scheme applicant","All","810","715","0.885","0"
"2021","1 points","Quintile 5","Main scheme applicant","All","970","830","0.855","0"
"2022","1 points","Quintile 5","Main scheme applicant","All","930","780","0.841","0"
"2023","1 points","Quintile 5","Main scheme applicant","All","855","735","0.86","0"
"2010","2 points","Quintile 5","Main scheme applicant","All","345","290","0.84","0"
"2011","2 points","Quintile 5","Main scheme applicant","All","350","300","0.859","0"
"2012","2 points","Quintile 5","Main scheme applicant","All","390","305","0.783","0"
"2013","2 points","Quintile 5","Main scheme applicant","All","430","355","0.8230000000000001","0"
"2014","2 points","Quintile 5","Main scheme applicant","All","405","335","0.8230000000000001","0"
"2015","2 points","Quintile 5","Main scheme applicant","All","460","395","0.851","0"
"2016","2 points","Quintile 5","Main scheme applicant","All","480","415","0.869","0"
"2017","2 points","Quintile 5","Main scheme applicant","All","410","350","0.845","0"
"2018","2 points","Quintile 5","Main scheme applicant","All","385","335","0.865","0"
"2019","2 points","Quintile 5","Main scheme applicant","All","320","270","0.846","0"
"2020","2 points","Quintile 5","Main scheme applicant","All","395","340","0.868","0"
"2021","2 points","Quintile 5","Main scheme applicant","All","460","400","0.871","0"
"2022","2 points","Quintile 5","Main scheme applicant","All","510","435","0.857","0"
"2023","2 points","Quintile 5","Main scheme applicant","All","405","350","0.864","0"
"2010","3 points","Quintile 5","Main scheme applicant","All","90","75","0.843","0"
"2011","3 points","Quintile 5","Main scheme applicant","All","90","75","0.8220000000000001","0"
"2012","3 points","Quintile 5","Main scheme applicant","All","455","385","0.851","0"
"2013","3 points","Quintile 5","Main scheme applicant","All","380","315","0.8310000000000001","0"
"2014","3 points","Quintile 5","Main scheme applicant","All","385","340","0.881","0"
"2015","3 points","Quintile 5","Main scheme applicant","All","300","260","0.858","0"
"2016","3 points","Quintile 5","Main scheme applicant","All","250","220","0.892","0"
"2017","3 points","Quintile 5","Main scheme applicant","All","220","190","0.869","0"
"2018","3 points","Quintile 5","Main scheme applicant","All","160","135","0.839","0"
"2019","3 points","Quintile 5","Main scheme applicant","All","135","125","0.904","0"
"2020","3 points","Quintile 5","Main scheme applicant","All","180","165","0.916","0"
"2021","3 points","Quintile 5","Main scheme applicant","All","220","190","0.869","0"
"2022","3 points","Quintile 5","Main scheme applicant","All","180","150","0.8290000000000001","0"
"2023","3 points","Quintile 5","Main scheme applicant","All","115","100","0.846","0"
"2010","More than 3 points","Quintile 5","Main scheme applicant","All","30","20","0.6880000000000001","0"
"2011","More than 3 points","Quintile 5","Main scheme applicant","All","20","20","0.9","0"
"2012","More than 3 points","Quintile 5","Main scheme applicant","All","115","90","0.791","0"
"2013","More than 3 points","Quintile 5","Main scheme applicant","All","110","95","0.873","0"
"2014","More than 3 points","Quintile 5","Main scheme applicant","All","105","90","0.858","0"
"2015","More than 3 points","Quintile 5","Main scheme applicant","All","95","80","0.863","0"
"2016","More than 3 points","Quintile 5","Main scheme applicant","All","55","50","0.929","0"
"2017","More than 3 points","Quintile 5","Main scheme applicant","All","60","50","0.833","0"
"2018","More than 3 points","Quintile 5","Main scheme applicant","All","40","35","0.9","0"
"2019","More than 3 points","Quintile 5","Main scheme applicant","All","35","30","0.909","0"
"2020","More than 3 points","Quintile 5","Main scheme applicant","All","45","35","0.739","0"
"2021","More than 3 points","Quintile 5","Main scheme applicant","All","55","50","0.927","0"
"2022","More than 3 points","Quintile 5","Main scheme applicant","All","40","35","0.857","0"
"2023","More than 3 points","Quintile 5","Main scheme applicant","All","45","35","0.8","0"
"2010","-1 points","Quintile 5","Main scheme applicant","All","410","285","0.6940000000000001","0"
"2011","-1 points","Quintile 5","Main scheme applicant","All","425","290","0.678","0"
"2012","-1 points","Quintile 5","Main scheme applicant","All","410","290","0.708","0"
"2013","-1 points","Quintile 5","Main scheme applicant","All","465","370","0.79","0"
"2014","-1 points","Quintile 5","Main scheme applicant","All","590","480","0.8160000000000001","0"
"2015","-1 points","Quintile 5","Main scheme applicant","All","680","535","0.783","0"
"2016","-1 points","Quintile 5","Main scheme applicant","All","650","550","0.845","0"
"2017","-1 points","Quintile 5","Main scheme applicant","All","590","485","0.8230000000000001","0"
"2018","-1 points","Quintile 5","Main scheme applicant","All","590","490","0.837","0"
"2019","-1 points","Quintile 5","Main scheme applicant","All","650","530","0.8190000000000001","0"
"2020","-1 points","Quintile 5","Main scheme applicant","All","590","525","0.885","0"
"2021","-1 points","Quintile 5","Main scheme applicant","All","720","625","0.865","0"
"2022","-1 points","Quintile 5","Main scheme applicant","All","825","685","0.8260000000000001","0"
"2023","-1 points","Quintile 5","Main scheme applicant","All","745","595","0.799","0"
"2010","-2 points","Quintile 5","Main scheme applicant","All","200","120","0.613","0"
"2011","-2 points","Quintile 5","Main scheme applicant","All","195","110","0.558","0"
"2012","-2 points","Quintile 5","Main scheme applicant","All","205","115","0.5760000000000001","0"
"2013","-2 points","Quintile 5","Main scheme applicant","All","240","175","0.721","0"
