"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","190","160","0.852","0"
"2011","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","180","150","0.843","0"
"2012","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","40","30","0.8","0"
"2013","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","45","40","0.93","0"
"2014","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","45","35","0.841","0"
"2015","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","60","55","0.933","0"
"2016","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","50","35","0.75","0"
"2017","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","50","45","0.88","0"
"2018","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","50","45","0.863","0"
"2019","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","40","35","0.878","0"
"2020","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","35","35","0.919","0"
"2021","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","65","60","0.908","0"
"2022","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","50","35","0.725","0"
"2023","7 points (DDD)","All","Wales","Male","Main scheme applicant","All","40","35","0.857","0"
"2012","8 points (D*DD)","All","Northern Ireland","Male","Main scheme applicant","All","25","20","0.769","0"
"2013","8 points (D*DD)","All","Northern Ireland","Male","Main scheme applicant","All","25","20","0.8","0"
"2014","8 points (D*DD)","All","Northern Ireland","Male","Main scheme applicant","All","25","20","0.8","0"
"2015","8 points (D*DD)","All","Northern Ireland","Male","Main scheme applicant","All","35","30","0.853","0"
"2016","8 points (D*DD)","All","Northern Ireland","Male","Main scheme applicant","All","35","30","0.9410000000000001","0"
"2017","8 points (D*DD)","All","Northern Ireland","Male","Main scheme applicant","All","40","35","0.8250000000000001","0"
"2018","8 points (D*DD)","All","Northern Ireland","Male","Main scheme applicant","All","30","20","0.75","0"
"2019","8 points (D*DD)","All","Northern Ireland","Male","Main scheme applicant","All","20","15","0.778","0"
"2020","8 points (D*DD)","All","Northern Ireland","Male","Main scheme applicant","All","30","25","0.781","0"
"2021","8 points (D*DD)","All","Northern Ireland","Male","Main scheme applicant","All","35","30","0.886","0"
"2022","8 points (D*DD)","All","Northern Ireland","Male","Main scheme applicant","All","30","25","0.793","0"
"2023","8 points (D*DD)","All","Northern Ireland","Male","Main scheme applicant","All","30","25","0.844","0"
"2011","8 points (D*DD)","All","England","Male","Main scheme applicant","All","15","10","0.846","0"
"2012","8 points (D*DD)","All","England","Male","Main scheme applicant","All","800","690","0.863","0"
"2013","8 points (D*DD)","All","England","Male","Main scheme applicant","All","930","800","0.864","0"
"2014","8 points (D*DD)","All","England","Male","Main scheme applicant","All","1060","920","0.871","0"
"2015","8 points (D*DD)","All","England","Male","Main scheme applicant","All","1135","1005","0.885","0"
"2016","8 points (D*DD)","All","England","Male","Main scheme applicant","All","1250","1110","0.886","0"
"2017","8 points (D*DD)","All","England","Male","Main scheme applicant","All","1200","1080","0.899","0"
"2018","8 points (D*DD)","All","England","Male","Main scheme applicant","All","1170","1025","0.879","0"
"2019","8 points (D*DD)","All","England","Male","Main scheme applicant","All","1210","1075","0.888","0"
"2020","8 points (D*DD)","All","England","Male","Main scheme applicant","All","1190","1075","0.904","0"
