"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","50","30","0.596","0"
"2012","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","75","40","0.5680000000000001","0"
"2013","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","70","45","0.648","0"
"2014","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","65","55","0.864","0"
"2015","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","40","30","0.714","0"
"2016","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","40","30","0.7000000000000001","0"
"2017","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","25","20","0.783","0"
"2018","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","30","25","0.893","0"
"2019","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","30","25","0.839","0"
"2020","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","35","35","0.917","0"
"2021","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","70","60","0.853","0"
"2022","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","45","40","0.932","0"
"2023","1 point (PPP)","18","England","Female","Main scheme applicant","Not main scheme application","55","45","0.8250000000000001","0"
"2015","1 point (PPP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","1 point (PPP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","1 point (PPP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","1 point (PPP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","1 point (PPP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","2 points (MPP)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","85","45","0.529","0"
"2011","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","60","30","0.508","0"
"2012","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","90","65","0.714","0"
"2013","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","65","45","0.662","0"
"2014","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","75","60","0.805","0"
"2015","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","80","70","0.8290000000000001","0"
"2016","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","55","45","0.849","0"
"2017","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","35","30","0.853","0"
"2018","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","45","40","0.851","0"
"2019","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","40","35","0.81","0"
"2020","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","50","45","0.9580000000000001","0"
"2021","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","80","75","0.902","0"
"2022","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","75","60","0.792","0"
"2023","2 points (MPP)","18","England","Female","Main scheme applicant","Not main scheme application","90","85","0.9430000000000001","0"
"2012","2 points (MPP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","2 points (MPP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","2 points (MPP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","3 points (MMP)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","3 points (MMP)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","90","70","0.783","0"
"2011","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","90","60","0.663","0"
"2012","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","80","65","0.8","0"
"2013","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","85","70","0.791","0"
"2014","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","90","70","0.758","0"
"2015","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","75","65","0.857","0"
"2016","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","85","65","0.759","0"
"2017","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","60","50","0.879","0"
"2018","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","50","50","0.98","0"
"2019","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","65","60","0.922","0"
"2020","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","60","50","0.833","0"
"2021","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","50","40","0.837","0"
"2022","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","105","85","0.8290000000000001","0"
"2023","3 points (MMP)","18","England","Female","Main scheme applicant","Not main scheme application","85","80","0.908","0"
"2010","3 points (MMP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","3 points (MMP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","3 points (MMP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","3 points (MMP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","3 points (MMP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","3 points (MMP)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","4 points (MMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","4 points (MMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","4 points (MMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","4 points (MMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","105","75","0.718","0"
"2011","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","130","90","0.6950000000000001","0"
"2012","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","140","110","0.804","0"
"2013","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","115","85","0.743","0"
"2014","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","90","75","0.8260000000000001","0"
"2015","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","125","105","0.8320000000000001","0"
"2016","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","90","80","0.859","0"
"2017","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","70","60","0.845","0"
"2018","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","80","70","0.885","0"
"2019","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","85","80","0.918","0"
"2020","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","95","90","0.9480000000000001","0"
"2021","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","125","115","0.921","0"
"2022","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","135","120","0.904","0"
"2023","4 points (MMM)","18","England","Female","Main scheme applicant","Not main scheme application","140","130","0.9420000000000001","0"
"2011","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","4 points (MMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","5 points (DMM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","125","95","0.756","0"
"2011","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","150","115","0.765","0"
"2012","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","140","95","0.686","0"
"2013","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","150","115","0.777","0"
"2014","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","145","110","0.753","0"
"2015","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","155","115","0.758","0"
"2016","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","125","100","0.8230000000000001","0"
"2017","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","105","85","0.811","0"
"2018","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","105","95","0.906","0"
"2019","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","110","95","0.853","0"
"2020","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","100","95","0.9510000000000001","0"
"2021","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","125","105","0.854","0"
"2022","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","150","125","0.8220000000000001","0"
"2023","5 points (DMM)","18","England","Female","Main scheme applicant","Not main scheme application","155","135","0.876","0"
"2010","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","5 points (DMM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","6 points (DDM)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","85","55","0.667","0"
"2011","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","135","90","0.672","0"
"2012","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","140","100","0.7000000000000001","0"
"2013","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","145","105","0.738","0"
"2014","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","165","120","0.717","0"
"2015","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","190","145","0.761","0"
"2016","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","170","140","0.807","0"
"2017","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","130","110","0.844","0"
"2018","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","120","105","0.861","0"
"2019","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","120","110","0.924","0"
"2020","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","120","110","0.933","0"
"2021","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","175","155","0.89","0"
"2022","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","175","155","0.908","0"
"2023","6 points (DDM)","18","England","Female","Main scheme applicant","Not main scheme application","170","150","0.86","0"
"2010","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","6 points (DDM)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2012","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 points (DDD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","325","225","0.6970000000000001","0"
"2011","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","540","385","0.708","0"
"2012","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","160","110","0.681","0"
"2013","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","155","120","0.766","0"
"2014","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","190","145","0.76","0"
"2015","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","205","155","0.762","0"
"2016","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","150","115","0.767","0"
"2017","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","115","100","0.877","0"
"2018","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","150","130","0.88","0"
"2019","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","135","120","0.91","0"
"2020","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","105","95","0.879","0"
"2021","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","140","120","0.844","0"
"2022","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","185","150","0.8260000000000001","0"
"2023","7 points (DDD)","18","England","Female","Main scheme applicant","Not main scheme application","165","150","0.886","0"
"2010","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2011","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","20","10","0.667","0"
"2012","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","7 points (DDD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 points (D*DD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","8 points (D*DD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","8 points (D*DD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","8 points (D*DD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","8 points (D*DD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 points (D*DD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","8 points (D*DD)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","8 points (D*DD)","18","England","Female","Main scheme applicant","Not main scheme application","95","65","0.6880000000000001","0"
"2013","8 points (D*DD)","18","England","Female","Main scheme applicant","Not main scheme application","110","90","0.835","0"
"2014","8 points (D*DD)","18","England","Female","Main scheme applicant","Not main scheme application","110","85","0.755","0"
"2015","8 points (D*DD)","18","England","Female","Main scheme applicant","Not main scheme application","145","115","0.793","0"
"2016","8 points (D*DD)","18","England","Female","Main scheme applicant","Not main scheme application","165","135","0.8220000000000001","0"
"2017","8 points (D*DD)","18","England","Female","Main scheme applicant","Not main scheme application","115","95","0.8260000000000001","0"
"2018","8 points (D*DD)","18","England","Female","Main scheme applicant","Not main scheme application","135","125","0.9400000000000001","0"
"2019","8 points (D*DD)","18","England","Female","Main scheme applicant","Not main scheme application","125","115","0.904","0"
"2020","8 points (D*DD)","18","England","Female","Main scheme applicant","Not main scheme application","120","105","0.866","0"
"2021","8 points (D*DD)","18","England","Female","Main scheme applicant","Not main scheme application","150","130","0.849","0"
"2022","8 points (D*DD)","18","England","Female","Main scheme applicant","Not main scheme application","190","160","0.853","0"
"2023","8 points (D*DD)","18","England","Female","Main scheme applicant","Not main scheme application","145","130","0.898","0"
"2014","8 points (D*DD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","8 points (D*DD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","8 points (D*DD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","8 points (D*DD)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2018","8 points (D*DD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 points (D*DD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","8 points (D*DD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 points (D*DD)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","9 points (D*D*D)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","9 points (D*D*D)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 points (D*D*D)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","9 points (D*D*D)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","9 points (D*D*D)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 points (D*D*D)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","9 points (D*D*D)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 points (D*D*D)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 points (D*D*D)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 points (D*D*D)","18","England","Female","Main scheme applicant","Not main scheme application","95","75","0.777","0"
"2013","9 points (D*D*D)","18","England","Female","Main scheme applicant","Not main scheme application","120","85","0.731","0"
"2014","9 points (D*D*D)","18","England","Female","Main scheme applicant","Not main scheme application","155","120","0.774","0"
"2015","9 points (D*D*D)","18","England","Female","Main scheme applicant","Not main scheme application","195","150","0.769","0"
"2016","9 points (D*D*D)","18","England","Female","Main scheme applicant","Not main scheme application","195","145","0.753","0"
"2017","9 points (D*D*D)","18","England","Female","Main scheme applicant","Not main scheme application","130","105","0.8230000000000001","0"
"2018","9 points (D*D*D)","18","England","Female","Main scheme applicant","Not main scheme application","110","100","0.875","0"
"2019","9 points (D*D*D)","18","England","Female","Main scheme applicant","Not main scheme application","125","105","0.843","0"
"2020","9 points (D*D*D)","18","England","Female","Main scheme applicant","Not main scheme application","140","125","0.907","0"
"2021","9 points (D*D*D)","18","England","Female","Main scheme applicant","Not main scheme application","160","135","0.84","0"
"2022","9 points (D*D*D)","18","England","Female","Main scheme applicant","Not main scheme application","170","150","0.86","0"
"2023","9 points (D*D*D)","18","England","Female","Main scheme applicant","Not main scheme application","115","105","0.922","0"
"2013","9 points (D*D*D)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","9 points (D*D*D)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","9 points (D*D*D)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 points (D*D*D)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","9 points (D*D*D)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 points (D*D*D)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 points (D*D*D)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","9 points (D*D*D)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","9 points (D*D*D)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 points (D*D*D*)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","10 points (D*D*D*)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","10 points (D*D*D*)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","10 points (D*D*D*)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","10 points (D*D*D*)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 points (D*D*D*)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","10 points (D*D*D*)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 points (D*D*D*)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 points (D*D*D*)","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","215","150","0.704","0"
"2013","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","270","200","0.754","0"
"2014","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","345","260","0.753","0"
"2015","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","455","355","0.786","0"
"2016","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","410","310","0.756","0"
"2017","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","400","345","0.867","0"
"2018","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","260","230","0.87","0"
"2019","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","205","165","0.8190000000000001","0"
"2020","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","260","235","0.912","0"
"2021","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","370","325","0.878","0"
"2022","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","140","120","0.87","0"
"2023","10 points (D*D*D*)","18","England","Female","Main scheme applicant","Not main scheme application","110","100","0.902","0"
"2012","10 points (D*D*D*)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 points (D*D*D*)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","10 points (D*D*D*)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","10 points (D*D*D*)","18","Wales","Female","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2016","10 points (D*D*D*)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","10 points (D*D*D*)","18","Wales","Female","Main scheme applicant","Not main scheme application","15","15","0.882","0"
"2018","10 points (D*D*D*)","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2019","10 points (D*D*D*)","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 points (D*D*D*)","18","Wales","Female","Main scheme applicant","Not main scheme application","20","15","0.737","0"
"2021","10 points (D*D*D*)","18","Wales","Female","Main scheme applicant","Not main scheme application","20","15","0.778","0"
"2022","10 points (D*D*D*)","18","Wales","Female","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2010","1 point (PPP)","18","England","Male","Main scheme applicant","Not main scheme application","80","70","0.8290000000000001","0"
"2011","1 point (PPP)","18","England","Male","Main scheme applicant","Not main scheme application","85","65","0.747","0"
